IP Address,Port,Organization,Hostnames,Reference,Port(s),Protocol,Service,Details,Source
50.114.168.136,25,"Comcast Cable Communications, LLC",,https://www.speedguide.net/port.php?port=25,25,tcp,EPSII,[trojan] EPS II,Neophasis
50.114.168.136,25,"Comcast Cable Communications, LLC",,https://www.speedguide.net/port.php?port=25,25,tcp,Gip,[trojan] Gip,Neophasis
50.114.168.136,25,"Comcast Cable Communications, LLC",,https://www.speedguide.net/port.php?port=25,25,tcp,Gris,[trojan] Gris,Neophasis
50.114.168.136,25,"Comcast Cable Communications, LLC",,https://www.speedguide.net/port.php?port=25,25,tcp,Happy99,[trojan] Happy99,Neophasis
50.114.168.136,25,"Comcast Cable Communications, LLC",,https://www.speedguide.net/port.php?port=25,25,tcp,Hpteammail,[trojan] Hpteam mail,Neophasis
50.114.168.136,25,"Comcast Cable Communications, LLC",,https://www.speedguide.net/port.php?port=25,25,tcp,Hybris,[trojan] Hybris,Neophasis
50.114.168.136,25,"Comcast Cable Communications, LLC",,https://www.speedguide.net/port.php?port=25,25,tcp,Iloveyou,[trojan] I love you,Neophasis
50.114.168.136,25,"Comcast Cable Communications, LLC",,https://www.speedguide.net/port.php?port=25,25,tcp,Kuang2,[trojan] Kuang2,Neophasis
50.114.168.136,25,"Comcast Cable Communications, LLC",,https://www.speedguide.net/port.php?port=25,25,tcp,MagicHorse,[trojan] Magic Horse,Neophasis
50.114.168.136,25,"Comcast Cable Communications, LLC",,https://www.speedguide.net/port.php?port=25,25,tcp,MBTMailBombingTrojan,[trojan] MBT (Mail Bombing Trojan),Neophasis
50.114.168.136,25,"Comcast Cable Communications, LLC",,https://www.speedguide.net/port.php?port=25,25,tcp,MBT,[trojan] MBT (Mail Bombing Trojan),Neophasis
50.114.168.136,25,"Comcast Cable Communications, LLC",,https://www.speedguide.net/port.php?port=25,25,tcp,MoscowEmailtrojan,[trojan] Moscow Email trojan,Neophasis
50.114.168.136,25,"Comcast Cable Communications, LLC",,https://www.speedguide.net/port.php?port=25,25,tcp,Naebi,[trojan] Naebi,Neophasis
50.114.168.136,25,"Comcast Cable Communications, LLC",,https://www.speedguide.net/port.php?port=25,25,tcp,NewAptworm,[trojan] NewApt worm,Neophasis
50.114.168.136,25,"Comcast Cable Communications, LLC",,https://www.speedguide.net/port.php?port=25,25,tcp,ProMailtrojan,[trojan] ProMail trojan,Neophasis
50.114.168.136,25,"Comcast Cable Communications, LLC",,https://www.speedguide.net/port.php?port=25,25,tcp,Shtirlitz,[trojan] Shtirlitz,Neophasis
50.114.168.136,25,"Comcast Cable Communications, LLC",,https://www.speedguide.net/port.php?port=25,25,tcp,Stealth,[trojan] Stealth,Neophasis
50.114.168.136,25,"Comcast Cable Communications, LLC",,https://www.speedguide.net/port.php?port=25,25,tcp,Stukach,[trojan] Stukach,Neophasis
50.114.168.136,25,"Comcast Cable Communications, LLC",,https://www.speedguide.net/port.php?port=25,25,tcp,Tapiras,[trojan] Tapiras,Neophasis
50.114.168.136,25,"Comcast Cable Communications, LLC",,https://www.speedguide.net/port.php?port=25,25,tcp,Terminator,[trojan] Terminator,Neophasis
50.114.168.136,25,"Comcast Cable Communications, LLC",,https://www.speedguide.net/port.php?port=25,25,tcp,WinPC,[trojan] WinPC,Neophasis
50.114.168.136,25,"Comcast Cable Communications, LLC",,https://www.speedguide.net/port.php?port=25,25,tcp,WinSpy,[trojan] WinSpy,Neophasis
50.114.168.136,25,"Comcast Cable Communications, LLC",,https://www.speedguide.net/port.php?port=25,25,tcp,threat,Ajan,Bekkoame
50.114.168.136,25,"Comcast Cable Communications, LLC",,https://www.speedguide.net/port.php?port=25,25,tcp,threat,Antigen,Bekkoame
50.114.168.136,25,"Comcast Cable Communications, LLC",,https://www.speedguide.net/port.php?port=25,25,tcp,threat,Bancos,Bekkoame
50.114.168.136,25,"Comcast Cable Communications, LLC",,https://www.speedguide.net/port.php?port=25,25,tcp,threat,Barok,Bekkoame
50.114.168.136,25,"Comcast Cable Communications, LLC",,https://www.speedguide.net/port.php?port=25,25,tcp,threat,Chimo,Bekkoame
50.114.168.136,25,"Comcast Cable Communications, LLC",,https://www.speedguide.net/port.php?port=25,25,tcp,threat,Email Password Sender - EPS,Bekkoame
50.114.168.136,25,"Comcast Cable Communications, LLC",,https://www.speedguide.net/port.php?port=25,25,tcp,threat,EPS II,Bekkoame
50.114.168.136,25,"Comcast Cable Communications, LLC",,https://www.speedguide.net/port.php?port=25,25,tcp,threat,Gip,Bekkoame
50.114.168.136,25,"Comcast Cable Communications, LLC",,https://www.speedguide.net/port.php?port=25,25,tcp,threat,Gris,Bekkoame
50.114.168.136,25,"Comcast Cable Communications, LLC",,https://www.speedguide.net/port.php?port=25,25,tcp,threat,Happy99,Bekkoame
50.114.168.136,25,"Comcast Cable Communications, LLC",,https://www.speedguide.net/port.php?port=25,25,tcp,threat,Hpteam mail,Bekkoame
50.114.168.136,25,"Comcast Cable Communications, LLC",,https://www.speedguide.net/port.php?port=25,25,tcp,threat,Hybris,Bekkoame
50.114.168.136,25,"Comcast Cable Communications, LLC",,https://www.speedguide.net/port.php?port=25,25,tcp,threat,I love you,Bekkoame
50.114.168.136,25,"Comcast Cable Communications, LLC",,https://www.speedguide.net/port.php?port=25,25,tcp,threat,Kuang2,Bekkoame
50.114.168.136,25,"Comcast Cable Communications, LLC",,https://www.speedguide.net/port.php?port=25,25,tcp,threat,Magic Horse,Bekkoame
50.114.168.136,25,"Comcast Cable Communications, LLC",,https://www.speedguide.net/port.php?port=25,25,tcp,threat,MBT (Mail Bombing Trojan),Bekkoame
50.114.168.136,25,"Comcast Cable Communications, LLC",,https://www.speedguide.net/port.php?port=25,25,tcp,threat,Mitglieder,Bekkoame
50.114.168.136,25,"Comcast Cable Communications, LLC",,https://www.speedguide.net/port.php?port=25,25,tcp,threat,Moscow Email trojan,Bekkoame
50.114.168.136,25,"Comcast Cable Communications, LLC",,https://www.speedguide.net/port.php?port=25,25,tcp,threat,Naebi,Bekkoame
50.114.168.136,25,"Comcast Cable Communications, LLC",,https://www.speedguide.net/port.php?port=25,25,tcp,threat,NewApt worm,Bekkoame
50.114.168.136,25,"Comcast Cable Communications, LLC",,https://www.speedguide.net/port.php?port=25,25,tcp,threat,ProMail trojan,Bekkoame
50.114.168.136,25,"Comcast Cable Communications, LLC",,https://www.speedguide.net/port.php?port=25,25,tcp,threat,Rustock,Bekkoame
50.114.168.136,25,"Comcast Cable Communications, LLC",,https://www.speedguide.net/port.php?port=25,25,tcp,threat,Shtirlitz,Bekkoame
50.114.168.136,25,"Comcast Cable Communications, LLC",,https://www.speedguide.net/port.php?port=25,25,tcp,threat,Stealth,Bekkoame
50.114.168.136,25,"Comcast Cable Communications, LLC",,https://www.speedguide.net/port.php?port=25,25,tcp,threat,Tapiras,Bekkoame
50.114.168.136,25,"Comcast Cable Communications, LLC",,https://www.speedguide.net/port.php?port=25,25,tcp,threat,Terminator,Bekkoame
50.114.168.136,25,"Comcast Cable Communications, LLC",,https://www.speedguide.net/port.php?port=25,25,tcp,threat,W32.Beagle,Bekkoame
50.114.168.136,25,"Comcast Cable Communications, LLC",,https://www.speedguide.net/port.php?port=25,25,tcp,threat,W32.HLLP.Sality,Bekkoame
50.114.168.136,25,"Comcast Cable Communications, LLC",,https://www.speedguide.net/port.php?port=25,25,tcp,threat,WinPC,Bekkoame
50.114.168.136,25,"Comcast Cable Communications, LLC",,https://www.speedguide.net/port.php?port=25,25,tcp,threat,WinSpy,Bekkoame
50.114.168.136,25,"Comcast Cable Communications, LLC",,https://www.speedguide.net/port.php?port=25,25,"tcp,udp",smtp,"Simple Mail Transfer [RFC5321] , modified: 2017-06-05",IANA
96.71.174.230,500,"Comcast Cable Communications, LLC",96-71-174-230-static.hfc.comcastbusiness.net,https://www.speedguide.net/port.php?port=500,500,"tcp,udp",ipsec,"IPSec (VPN tunneling) uses the following ports:

500/udp - Internet Key Exchange (IKE)

4500/udp - NAT traversal

500/tcp - sometimes used for IKE over TCP

See also:

port 1701 (L2TP)

port 1723 (PPTP)



Some Apple applications use this port as well: Mac OS X Server VPN service, Back to My Mac (MobileMe, Mac OS X v10.5 or later).



Xbox 360 (LIVE) ports: 3074 TCP/UDP, 53 TCP/UDP, 80 TCP, 88 UDP

Xbox One (LIVE) ports: 3074 TCP/UDP, 53 TCP/UDP, 80 TCP, 88 UDP, 500 UDP, 3544 UDP, 4500 UDP



isakmp_sub_print in tcpdump 3.6 through 3.7.1 allows remote attackers to cause a denial of service (CPU consumption) via a certain malformed ISAKMP packet to UDP port 500, which causes tcpdump to enter an infinite loop.

References: [CVE-2003-0108] [BID-6974]



Microsoft Windows XP allows remote attackers to cause a denial of service (CPU consumption) by flooding UDP port 500 (ISAKMP).

References: [CVE-2002-2117]



Snapgear Lite+ firewall 1.5.3 allows remote attackers to cause a denial of service (IPSEC crash) via a zero length packet to UDP port 500. 

References: [CVE-2002-0603] [BID-4659]



Cisco Wireless LAN Controller is vulnerable to a denial of service, caused by an error when handling Internet Key Exchange (IKE) messages. By sending a specially-crafted IKE packet to UDP Port 500, a remote attacker could exploit this vulnerability to cause the device to crash and reload.

References: [CVE-2010-0574] [XFDB-61666] [BID-43059]



A vulnerability in MikroTik Version 6.38.5 could allow an unauthenticated remote attacker to exhaust all available CPU via a flood of UDP packets on port 500 (used for L2TP over IPsec), preventing the affected router from accepting new connections; all devices will be disconnected from the router and all logs removed automatically.

References: [CVE-2017-8338], [XFDB-126179]



Vodafone Sure Signal also uses this port",SG
96.71.174.230,500,"Comcast Cable Communications, LLC",96-71-174-230-static.hfc.comcastbusiness.net,https://www.speedguide.net/port.php?port=500,500,udp,,Internet Security Association and Key Management Protocol (ISAKMP) (official),Wikipedia
96.71.174.230,500,"Comcast Cable Communications, LLC",96-71-174-230-static.hfc.comcastbusiness.net,https://www.speedguide.net/port.php?port=500,500,"tcp,udp",isakmp,VPN Key Exchange,SANS
96.71.174.230,500,"Comcast Cable Communications, LLC",96-71-174-230-static.hfc.comcastbusiness.net,https://www.speedguide.net/port.php?port=500,500,"tcp,udp",applications,Bay VPN,Portforward
96.71.174.230,500,"Comcast Cable Communications, LLC",96-71-174-230-static.hfc.comcastbusiness.net,https://www.speedguide.net/port.php?port=500,500,udp,threat,Cisco Systems,Bekkoame
96.71.174.230,500,"Comcast Cable Communications, LLC",96-71-174-230-static.hfc.comcastbusiness.net,https://www.speedguide.net/port.php?port=500,500,"tcp,udp",isakmp,isakmp,IANA
96.88.178.9,500,"Comcast Cable Communications, LLC",mail.sjnmtl.org,https://www.speedguide.net/port.php?port=500,500,"tcp,udp",ipsec,"IPSec (VPN tunneling) uses the following ports:

500/udp - Internet Key Exchange (IKE)

4500/udp - NAT traversal

500/tcp - sometimes used for IKE over TCP

See also:

port 1701 (L2TP)

port 1723 (PPTP)



Some Apple applications use this port as well: Mac OS X Server VPN service, Back to My Mac (MobileMe, Mac OS X v10.5 or later).



Xbox 360 (LIVE) ports: 3074 TCP/UDP, 53 TCP/UDP, 80 TCP, 88 UDP

Xbox One (LIVE) ports: 3074 TCP/UDP, 53 TCP/UDP, 80 TCP, 88 UDP, 500 UDP, 3544 UDP, 4500 UDP



isakmp_sub_print in tcpdump 3.6 through 3.7.1 allows remote attackers to cause a denial of service (CPU consumption) via a certain malformed ISAKMP packet to UDP port 500, which causes tcpdump to enter an infinite loop.

References: [CVE-2003-0108] [BID-6974]



Microsoft Windows XP allows remote attackers to cause a denial of service (CPU consumption) by flooding UDP port 500 (ISAKMP).

References: [CVE-2002-2117]



Snapgear Lite+ firewall 1.5.3 allows remote attackers to cause a denial of service (IPSEC crash) via a zero length packet to UDP port 500. 

References: [CVE-2002-0603] [BID-4659]



Cisco Wireless LAN Controller is vulnerable to a denial of service, caused by an error when handling Internet Key Exchange (IKE) messages. By sending a specially-crafted IKE packet to UDP Port 500, a remote attacker could exploit this vulnerability to cause the device to crash and reload.

References: [CVE-2010-0574] [XFDB-61666] [BID-43059]



A vulnerability in MikroTik Version 6.38.5 could allow an unauthenticated remote attacker to exhaust all available CPU via a flood of UDP packets on port 500 (used for L2TP over IPsec), preventing the affected router from accepting new connections; all devices will be disconnected from the router and all logs removed automatically.

References: [CVE-2017-8338], [XFDB-126179]



Vodafone Sure Signal also uses this port",SG
96.88.178.9,500,"Comcast Cable Communications, LLC",mail.sjnmtl.org,https://www.speedguide.net/port.php?port=500,500,udp,,Internet Security Association and Key Management Protocol (ISAKMP) (official),Wikipedia
96.88.178.9,500,"Comcast Cable Communications, LLC",mail.sjnmtl.org,https://www.speedguide.net/port.php?port=500,500,"tcp,udp",isakmp,VPN Key Exchange,SANS
96.88.178.9,500,"Comcast Cable Communications, LLC",mail.sjnmtl.org,https://www.speedguide.net/port.php?port=500,500,"tcp,udp",applications,Bay VPN,Portforward
96.88.178.9,500,"Comcast Cable Communications, LLC",mail.sjnmtl.org,https://www.speedguide.net/port.php?port=500,500,udp,threat,Cisco Systems,Bekkoame
96.88.178.9,500,"Comcast Cable Communications, LLC",mail.sjnmtl.org,https://www.speedguide.net/port.php?port=500,500,"tcp,udp",isakmp,isakmp,IANA
50.237.140.35,500,"Comcast Cable Communications, LLC",,https://www.speedguide.net/port.php?port=500,500,"tcp,udp",ipsec,"IPSec (VPN tunneling) uses the following ports:

500/udp - Internet Key Exchange (IKE)

4500/udp - NAT traversal

500/tcp - sometimes used for IKE over TCP

See also:

port 1701 (L2TP)

port 1723 (PPTP)



Some Apple applications use this port as well: Mac OS X Server VPN service, Back to My Mac (MobileMe, Mac OS X v10.5 or later).



Xbox 360 (LIVE) ports: 3074 TCP/UDP, 53 TCP/UDP, 80 TCP, 88 UDP

Xbox One (LIVE) ports: 3074 TCP/UDP, 53 TCP/UDP, 80 TCP, 88 UDP, 500 UDP, 3544 UDP, 4500 UDP



isakmp_sub_print in tcpdump 3.6 through 3.7.1 allows remote attackers to cause a denial of service (CPU consumption) via a certain malformed ISAKMP packet to UDP port 500, which causes tcpdump to enter an infinite loop.

References: [CVE-2003-0108] [BID-6974]



Microsoft Windows XP allows remote attackers to cause a denial of service (CPU consumption) by flooding UDP port 500 (ISAKMP).

References: [CVE-2002-2117]



Snapgear Lite+ firewall 1.5.3 allows remote attackers to cause a denial of service (IPSEC crash) via a zero length packet to UDP port 500. 

References: [CVE-2002-0603] [BID-4659]



Cisco Wireless LAN Controller is vulnerable to a denial of service, caused by an error when handling Internet Key Exchange (IKE) messages. By sending a specially-crafted IKE packet to UDP Port 500, a remote attacker could exploit this vulnerability to cause the device to crash and reload.

References: [CVE-2010-0574] [XFDB-61666] [BID-43059]



A vulnerability in MikroTik Version 6.38.5 could allow an unauthenticated remote attacker to exhaust all available CPU via a flood of UDP packets on port 500 (used for L2TP over IPsec), preventing the affected router from accepting new connections; all devices will be disconnected from the router and all logs removed automatically.

References: [CVE-2017-8338], [XFDB-126179]



Vodafone Sure Signal also uses this port",SG
50.237.140.35,500,"Comcast Cable Communications, LLC",,https://www.speedguide.net/port.php?port=500,500,udp,,Internet Security Association and Key Management Protocol (ISAKMP) (official),Wikipedia
50.237.140.35,500,"Comcast Cable Communications, LLC",,https://www.speedguide.net/port.php?port=500,500,"tcp,udp",isakmp,VPN Key Exchange,SANS
50.237.140.35,500,"Comcast Cable Communications, LLC",,https://www.speedguide.net/port.php?port=500,500,"tcp,udp",applications,Bay VPN,Portforward
50.237.140.35,500,"Comcast Cable Communications, LLC",,https://www.speedguide.net/port.php?port=500,500,udp,threat,Cisco Systems,Bekkoame
50.237.140.35,500,"Comcast Cable Communications, LLC",,https://www.speedguide.net/port.php?port=500,500,"tcp,udp",isakmp,isakmp,IANA
68.52.113.33,500,"Comcast Cable Communications, Inc.",c-68-52-113-33.hsd1.tn.comcast.net,https://www.speedguide.net/port.php?port=500,500,"tcp,udp",ipsec,"IPSec (VPN tunneling) uses the following ports:

500/udp - Internet Key Exchange (IKE)

4500/udp - NAT traversal

500/tcp - sometimes used for IKE over TCP

See also:

port 1701 (L2TP)

port 1723 (PPTP)



Some Apple applications use this port as well: Mac OS X Server VPN service, Back to My Mac (MobileMe, Mac OS X v10.5 or later).



Xbox 360 (LIVE) ports: 3074 TCP/UDP, 53 TCP/UDP, 80 TCP, 88 UDP

Xbox One (LIVE) ports: 3074 TCP/UDP, 53 TCP/UDP, 80 TCP, 88 UDP, 500 UDP, 3544 UDP, 4500 UDP



isakmp_sub_print in tcpdump 3.6 through 3.7.1 allows remote attackers to cause a denial of service (CPU consumption) via a certain malformed ISAKMP packet to UDP port 500, which causes tcpdump to enter an infinite loop.

References: [CVE-2003-0108] [BID-6974]



Microsoft Windows XP allows remote attackers to cause a denial of service (CPU consumption) by flooding UDP port 500 (ISAKMP).

References: [CVE-2002-2117]



Snapgear Lite+ firewall 1.5.3 allows remote attackers to cause a denial of service (IPSEC crash) via a zero length packet to UDP port 500. 

References: [CVE-2002-0603] [BID-4659]



Cisco Wireless LAN Controller is vulnerable to a denial of service, caused by an error when handling Internet Key Exchange (IKE) messages. By sending a specially-crafted IKE packet to UDP Port 500, a remote attacker could exploit this vulnerability to cause the device to crash and reload.

References: [CVE-2010-0574] [XFDB-61666] [BID-43059]



A vulnerability in MikroTik Version 6.38.5 could allow an unauthenticated remote attacker to exhaust all available CPU via a flood of UDP packets on port 500 (used for L2TP over IPsec), preventing the affected router from accepting new connections; all devices will be disconnected from the router and all logs removed automatically.

References: [CVE-2017-8338], [XFDB-126179]



Vodafone Sure Signal also uses this port",SG
68.52.113.33,500,"Comcast Cable Communications, Inc.",c-68-52-113-33.hsd1.tn.comcast.net,https://www.speedguide.net/port.php?port=500,500,udp,,Internet Security Association and Key Management Protocol (ISAKMP) (official),Wikipedia
68.52.113.33,500,"Comcast Cable Communications, Inc.",c-68-52-113-33.hsd1.tn.comcast.net,https://www.speedguide.net/port.php?port=500,500,"tcp,udp",isakmp,VPN Key Exchange,SANS
68.52.113.33,500,"Comcast Cable Communications, Inc.",c-68-52-113-33.hsd1.tn.comcast.net,https://www.speedguide.net/port.php?port=500,500,"tcp,udp",applications,Bay VPN,Portforward
68.52.113.33,500,"Comcast Cable Communications, Inc.",c-68-52-113-33.hsd1.tn.comcast.net,https://www.speedguide.net/port.php?port=500,500,udp,threat,Cisco Systems,Bekkoame
68.52.113.33,500,"Comcast Cable Communications, Inc.",c-68-52-113-33.hsd1.tn.comcast.net,https://www.speedguide.net/port.php?port=500,500,"tcp,udp",isakmp,isakmp,IANA
73.79.230.142,500,"Comcast IP Services, L.L.C.",c-73-79-230-142.hsd1.pa.comcast.net,https://www.speedguide.net/port.php?port=500,500,"tcp,udp",ipsec,"IPSec (VPN tunneling) uses the following ports:

500/udp - Internet Key Exchange (IKE)

4500/udp - NAT traversal

500/tcp - sometimes used for IKE over TCP

See also:

port 1701 (L2TP)

port 1723 (PPTP)



Some Apple applications use this port as well: Mac OS X Server VPN service, Back to My Mac (MobileMe, Mac OS X v10.5 or later).



Xbox 360 (LIVE) ports: 3074 TCP/UDP, 53 TCP/UDP, 80 TCP, 88 UDP

Xbox One (LIVE) ports: 3074 TCP/UDP, 53 TCP/UDP, 80 TCP, 88 UDP, 500 UDP, 3544 UDP, 4500 UDP



isakmp_sub_print in tcpdump 3.6 through 3.7.1 allows remote attackers to cause a denial of service (CPU consumption) via a certain malformed ISAKMP packet to UDP port 500, which causes tcpdump to enter an infinite loop.

References: [CVE-2003-0108] [BID-6974]



Microsoft Windows XP allows remote attackers to cause a denial of service (CPU consumption) by flooding UDP port 500 (ISAKMP).

References: [CVE-2002-2117]



Snapgear Lite+ firewall 1.5.3 allows remote attackers to cause a denial of service (IPSEC crash) via a zero length packet to UDP port 500. 

References: [CVE-2002-0603] [BID-4659]



Cisco Wireless LAN Controller is vulnerable to a denial of service, caused by an error when handling Internet Key Exchange (IKE) messages. By sending a specially-crafted IKE packet to UDP Port 500, a remote attacker could exploit this vulnerability to cause the device to crash and reload.

References: [CVE-2010-0574] [XFDB-61666] [BID-43059]



A vulnerability in MikroTik Version 6.38.5 could allow an unauthenticated remote attacker to exhaust all available CPU via a flood of UDP packets on port 500 (used for L2TP over IPsec), preventing the affected router from accepting new connections; all devices will be disconnected from the router and all logs removed automatically.

References: [CVE-2017-8338], [XFDB-126179]



Vodafone Sure Signal also uses this port",SG
73.79.230.142,500,"Comcast IP Services, L.L.C.",c-73-79-230-142.hsd1.pa.comcast.net,https://www.speedguide.net/port.php?port=500,500,udp,,Internet Security Association and Key Management Protocol (ISAKMP) (official),Wikipedia
73.79.230.142,500,"Comcast IP Services, L.L.C.",c-73-79-230-142.hsd1.pa.comcast.net,https://www.speedguide.net/port.php?port=500,500,"tcp,udp",isakmp,VPN Key Exchange,SANS
73.79.230.142,500,"Comcast IP Services, L.L.C.",c-73-79-230-142.hsd1.pa.comcast.net,https://www.speedguide.net/port.php?port=500,500,"tcp,udp",applications,Bay VPN,Portforward
73.79.230.142,500,"Comcast IP Services, L.L.C.",c-73-79-230-142.hsd1.pa.comcast.net,https://www.speedguide.net/port.php?port=500,500,udp,threat,Cisco Systems,Bekkoame
73.79.230.142,500,"Comcast IP Services, L.L.C.",c-73-79-230-142.hsd1.pa.comcast.net,https://www.speedguide.net/port.php?port=500,500,"tcp,udp",isakmp,isakmp,IANA
73.127.105.66,7547,"Comcast Cable Communications, LLC",c-73-127-105-66.hsd1.ms.comcast.net,https://www.speedguide.net/port.php?port=7547,7547,tcp,tr069,"CPE WAN Management Protocol Technical Report 069 uses port 7547 (TCP/UDP).



Port associated with TR-069 - application layer protocol for remote management of end-user devices. It is a bidirectional SOAP/HTTP-based protocol that provides communication between CPE devices and auto-configuration servers (ACS). It can be used by some modems, gateways, routers, VoIP phones, set-top boxes. TR-069 has some known exploits as demonstrated at the DEFCON22 conference.



If your NAT router/gateway keeps this port open and you are sure you want to filter it (potential interference with ISPs pushing firmware updates), try the following.  Navigate to your router's admin interface and disable TR-069. If that does not work, look under ""port forwarding"", or ""virtual servers"", and forward the port to an unused local IP address, like (192.168.1.252)



The Eir D1000 modem does not properly restrict the TR-064 protocol, which allows remote attackers to execute arbitrary commands via TCP port 7547, as demonstrated by opening WAN access to TCP port 80, retrieving the login password (which defaults to the Wi-Fi password), and using the NewNTPServer feature.

References: [CVE-2016-10372], [XFDB-126658]



IANA registered for: Broadband Forum CWMP (TCP/UDP)",SG
73.127.105.66,7547,"Comcast Cable Communications, LLC",c-73-127-105-66.hsd1.ms.comcast.net,https://www.speedguide.net/port.php?port=7547,7547,"tcp,udp",cwmp,"DSL Forum CWMP, registered 2006-01",IANA
