Port,Reference,Port(s),Protocol,Service,Details,Source
65530,https://www.speedguide.net/port.php?port=65530,65530,tcp,trojan,"Backdoor.Mite [Symantec-2002-090309-2255-99] - remote access trojan with password-stealing capabilities, affects Windows. Opens a backdoor on port 61000/tcp. BD Windows Mite 1.0 variant listens on port 65530/tcp.",SG
65530,https://www.speedguide.net/port.php?port=65530,65530,tcp,trojan,[trojan] Windows Mite,Trojans
65530,https://www.speedguide.net/port.php?port=65530,65530,tcp,WindowsMite,[trojan] Windows Mite,SANS
65528,https://www.speedguide.net/port.php?port=65528,65528,tcp,threat,W32.Spybot,Bekkoame
65520,https://www.speedguide.net/port.php?port=65520,65520,tcp,virus,W32.Virut.B [Symantec-2007-030116-3455-99] (2007.03.01) - a virus that infects executable files and opens a back door on the compromised computer,SG
65511,https://www.speedguide.net/port.php?port=65511,65511,tcp,applications,"A certain HTC update for Android 2.3.4 build GRJ22, when the Sense interface is used on the HTC EVO 3D, EVO 4G, ThunderBolt, and unspecified other devices, provides the HtcLoggers.apk application, which allows user-assisted remote attackers to obtain a list of telephone numbers from a log, and other sensitive information, by leveraging the android.permission.INTERNET application permission and establishing TCP sessions to 127.0.0.1 on port 65511 and a second port.

References: [CVE-2011-3975] [BID-49916]",SG
65506,https://www.speedguide.net/port.php?port=65506,65506,tcp,trojans,"Port 65506 is used by some trojans for a spam email relay.



PhatBot (a.k.a. Agobot, Gaobot) - most variants exploit the MS DCOM RPC vilnerability (MS Security Billetin [MS03-026]) and the RPC locator vulnerability (MS Security Bulletin [MS03-001]) to spread. Some variants scan port 65506 for a possible backdoor.",SG
65506,https://www.speedguide.net/port.php?port=65506,65506,tcp,phatbot-ssl,Phatbot SSL Proxy,SANS
65475,https://www.speedguide.net/port.php?port=65475,65475,"tcp,udp",threat,W32.Gaobot,Bekkoame
65432,https://www.speedguide.net/port.php?port=65432,65432,tcp,trojans,The Traitor (th3tr41t0r) trojan uses ports 65432/tcp and 65532/udp,SG
65432,https://www.speedguide.net/port.php?port=65432,65432,"tcp,udp",trojan,[trojan] The Traitor (= th3tr41t0r),Trojans
65432,https://www.speedguide.net/port.php?port=65432,65432,"tcp,udp",TheTraitor,[trojan] The Traitor (= th3tr41t0r),SANS
65423,https://www.speedguide.net/port.php?port=65423,65423,udp,malware,"HackTool.Win32.Hidd.b / Remote Stack Buffer Overflow (UDP Datagram) - the malware listens on UDP ports 52810 and 65423. Third-party attackers who can reach an infected system can send a 479 byte payload to port 65423 and trigger a classic stack buffer overflow overwriting the EIP, ECX registers.

References: [MVID-2021-0318]",SG
65422,https://www.speedguide.net/port.php?port=65422,65422,tcp,trojan,Alicia trojan horse,SG
65422,https://www.speedguide.net/port.php?port=65422,65422,tcp,trojan,Alicia,Trojans
65421,https://www.speedguide.net/port.php?port=65421,65421,tcp,trojans,"Alicia trojan, Jade trojan packed with neolite",SG
65421,https://www.speedguide.net/port.php?port=65421,65421,tcp,trojan,Alicia,Trojans
65421,https://www.speedguide.net/port.php?port=65421,65421,tcp,Jade,[trojan] Jade,SANS
65390,https://www.speedguide.net/port.php?port=65390,65390,tcp,trojans,Xylo Eclypse trojan,SG
65390,https://www.speedguide.net/port.php?port=65390,65390,tcp,Eclypse,[trojan] Eclypse,SANS
65301,https://www.speedguide.net/port.php?port=65301,65301,tcp,pcanywhere,Port used by PC Anywhere,SG
65301,https://www.speedguide.net/port.php?port=65301,65301,tcp,pcanywhere,,SANS
65301,https://www.speedguide.net/port.php?port=65301,65301,tcp,pcanywhere,pcanywhere,Nmap
65301,https://www.speedguide.net/port.php?port=65301,65301,udp,threat,PCanywhere,Bekkoame
65289,https://www.speedguide.net/port.php?port=65289,65289,tcp,trojan,yoyo trojan horse,SG
65289,https://www.speedguide.net/port.php?port=65289,65289,tcp,trojan,yoyo,Trojans
65111,https://www.speedguide.net/port.php?port=65111,65111,tcp,trojans,"Backdoor.Microkos [Symantec-2005-081015-0341-99] (2005.08.10) - a trojan that opens a backdoor on the compromised computer. It listens for remote commands on port 65111/tcp, and can also open an additional backdoor on port 666/tcp.",SG
65111,https://www.speedguide.net/port.php?port=65111,65111,tcp,threat,Microkos,Bekkoame
65010,https://www.speedguide.net/port.php?port=65010,65010,tcp,threat,Roxrat,Bekkoame
65002,https://www.speedguide.net/port.php?port=65002,65002,"tcp,udp",applications,"An issue was discovered on D-Link DSL-2640B B2 EU_4.01B devices. A cfm UDP service listening on port 65002 allows remote, unauthenticated exfiltration of administrative credentials.

References: [CVE-2020-9275]",SG
65000,https://www.speedguide.net/port.php?port=65000,65000,tcp,trojans,"Trojans that use this port: Devil 13, Sockets des Troie, Stacheldraht (DDoS)",SG
65000,https://www.speedguide.net/port.php?port=65000,65000,udp,trojans,"Devil trojan horse 1.03



Backdoor.Win32.Whgrx / Remote Host Header Stack Buffer Overflow - the specimen listens on datagram UDP port 65000, by sending a specially crafted HTTP PUT request and specifying a large string of characters for the HOST header we trigger the buffer overflow overwriting stack registers. Upon running the malware it may display a ""Cannot load shared library wsocx.dll"" message but still runs normally. The exploit payload specifies both 41414141 and 42424242 pattern with 42424242 overwriting SEH and ECX register, the 42424242 pattern was target the HTTP HOST header.

References: [MVID-2021-0030]",SG
65000,https://www.speedguide.net/port.php?port=65000,65000,tcp,trojan,"Devil, Sockets des Troie, Stacheldraht",Trojans
65000,https://www.speedguide.net/port.php?port=65000,65000,tcp,Devil,[trojan] Devil,SANS
65000,https://www.speedguide.net/port.php?port=65000,65000,tcp,SocketsdesTroie,[trojan] Sockets des Troie,SANS
65000,https://www.speedguide.net/port.php?port=65000,65000,tcp,Stacheldrahtagent,[trojan] Stacheldraht agent - handler,SANS
65000,https://www.speedguide.net/port.php?port=65000,65000,tcp,Stacheldraht,[trojan] Stacheldraht,SANS
65000,https://www.speedguide.net/port.php?port=65000,"131,392,790,065,000",udp,applications,Command and Conquer 3 Tiberian Wars,Portforward
65000,https://www.speedguide.net/port.php?port=65000,65000,tcp,threat,Roxrat,Bekkoame
64999,https://www.speedguide.net/port.php?port=64999,64999,udp,applications,"Unspecified vulnerability in SAP Web Application Server before 6.40 patch 6 allows remote attackers to cause a denial of service (enserver.exe crash) via a certain UDP packet to port 64999, aka ""two bytes UDP crash"".

References: [CVE-2006-6011]



Unspecified vulnerability in SAP Web Application Server 6.40 before patch 136 and 7.00 before patch 66 allows remote attackers to cause a denial of service (enserver.exe crash) via a 0x72F2 sequence on UDP port 64999.

References: [CVE-2006-5785] [SECUNIA-22677] [BID-20873]",SG
64969,https://www.speedguide.net/port.php?port=64969,64969,tcp,trojan,Lithium.100 trojan,SG
64554,https://www.speedguide.net/port.php?port=64554,64554,tcp,malware,"Backdoor.Win32.Delf.wr / Authentication Bypass RCE - the CrazyInvadres Group⌐ bY SMURF_NS malware runs an FTP server on TCP port 64554. Third-party attackers who can reach infected systems can logon using any username/password combination. Intruders may then upload executables using ftp PASV, STOR commands, this can result in remote code execution.

References: [MVID-2021-0326]



Backdoor.Win32.Delf.wr / Port Bounce Scan - the CrazyInvadres Group⌐ bY SMURF_NS malware runs an FTP server on TCP port 64554 and accepts any username/password credentials. Third-party attackers who successfully logon can abuse the backdoor FTP server as a man-in-the-middle machine allowing PORT Command bounce scan attacks using Nmap. This vulnerability allows remote attackers to abuse your system and discreetly conduct network port scanning. Victims will then think these scans are originating from the infected system running the afflicted malware FTP Server and not you.

References: [MVID-2021-0327]",SG
64444,https://www.speedguide.net/port.php?port=64444,64444,tcp,trojans,Backdoor.Sdbot.AM [Symantec-2005-012716-1902-99] (2005.01.27) - worm with backdoor and denial of service capabilities. Spreads via network shares. Connects via IRC and listens on port 64444/tcp.,SG
64444,https://www.speedguide.net/port.php?port=64444,64444,tcp,threat,Sdbot,Bekkoame
64429,https://www.speedguide.net/port.php?port=64429,64429,tcp,trojans,"Backdoor.Amitis.B [Symantec-2003-051915-1012-99] (2003.05.19) Windows remote access trojan. Listens on ports 3547, 7823, 12345, 13173, 44280, 44390, 47387, 64429. Other variants of Backdoor.Amitis also use ports 27, 551.",SG
64429,https://www.speedguide.net/port.php?port=64429,64429,tcp,threat,Amitis,Bekkoame
64101,https://www.speedguide.net/port.php?port=64101,64101,tcp,trojans,Taskman trojan,SG
64101,https://www.speedguide.net/port.php?port=64101,64101,tcp,trojan,[trojan] Taskman,Trojans
64101,https://www.speedguide.net/port.php?port=64101,64101,tcp,TaskmanTaskManager,[trojan] Taskman / Task Manager,SANS
64101,https://www.speedguide.net/port.php?port=64101,64101,tcp,Taskman,[trojan] Taskman,SANS
64101,https://www.speedguide.net/port.php?port=64101,64100-64299,udp,warface,"Warface game ports: 5222 TCP, 64100-64299 UDP",SG
63879,https://www.speedguide.net/port.php?port=63879,63879,tcp,trojan,AphexFTP.100 trojan,SG
63878,https://www.speedguide.net/port.php?port=63878,63878,tcp,trojan,AphexFTP.100 trojan,SG
63809,https://www.speedguide.net/port.php?port=63809,63809,tcp,trojans,"Phatbot



W32.hllw.gaobot.dk worm [Symantec-2003-120514-4926-99]",SG
63809,https://www.speedguide.net/port.php?port=63809,63809,tcp,threat,Gaobot,Bekkoame
63808,https://www.speedguide.net/port.php?port=63808,63808,tcp,trojan,Phatbot,SG
63536,https://www.speedguide.net/port.php?port=63536,63536,tcp,trojan,InsaneNetwork.500 trojan,SG
63485,https://www.speedguide.net/port.php?port=63485,63485,tcp,trojans,"Bunker-Hill trojan. Uses ports 61348, 61603, 63485",SG
63485,https://www.speedguide.net/port.php?port=63485,63485,tcp,trojan,[trojan] Bunker-Hill,Trojans
63485,https://www.speedguide.net/port.php?port=63485,63485,tcp,BunkerHill,[trojan] Bunker-Hill,SANS
63485,https://www.speedguide.net/port.php?port=63485,63485,tcp,Bunker-Hill,[trojan] Bunker-Hill,SANS
63148,https://www.speedguide.net/port.php?port=63148,63148,tcp,applications,"Lotus Domino R5 prior to 5.0.7 allows a remote attacker to create a denial of service via repeatedly sending large (> 10Kb) amounts of data to the DIIOP - CORBA service on TCP port 63148.

References: [CVE-2001-0603]",SG
63001,https://www.speedguide.net/port.php?port=63001,63001,tcp,trojans,"W32.Gaobot.ADX [Symantec-2004-042412-3100-99] (2004.04.24) - Windows worm that spreads through a few different methods, including open network shares, several known Windows vulnerabilities, and other backdoors like Beagle and Mydoom. Listens on these TCP ports: 63000 (HTTP), 63001 (HTTPS), 30001 (SOCKS proxy), and a FTP server on a random port.",SG
63000,https://www.speedguide.net/port.php?port=63000,63000,tcp,trojans,"W32.Gaobot.ADX [Symantec-2004-042412-3100-99] (2004.04.24) - Windows worm that spreads through a few different methods, including open network shares, several known Windows vulnerabilities, and other backdoors like Beagle and Mydoom. Listens on these TCP ports: 63000 (HTTP), 63001 (HTTPS), 30001 (SOCKS proxy), and a FTP server on a random port.",SG
63000,https://www.speedguide.net/port.php?port=63000,63000,tcp,threat,W32.Gaobot,Bekkoame
62976,https://www.speedguide.net/port.php?port=62976,62976,udp,applications,"D-Link DCS-900 Internet Camera listens on UDP port 62976 for an IP address, which allows remote attackers to change the IP address of the camera via a UDP broadcast packet.

References: [CVE-2004-1650], [BID-11072], [SECUNIA-12425]",SG
62884,https://www.speedguide.net/port.php?port=62884,62884,tcp,malware,"Trojan.Win32.RASFlooder.b / Hardcoded Plaintext Password - the malware lets you create a backdoor server that will listen on TCP port 62884. Theres an option to specify a password if you choose. However, the malware allows weak passwords consisting of one character and stores user specified passwords in cleartext within the executable. The password is easily recoverable using strings util.

References: [MVID-2021-0287]",SG
62514,https://www.speedguide.net/port.php?port=62514,62514,udp,vpn,"Cisco VPN Service to Cisco Systems IPSec Driver



Stack-based buffer overflow in the IKE service (ireIke.exe) in SafeNet SoftRemote before 10.8.6 allows remote attackers to execute arbitrary code via a long request to UDP port 62514.

References: [CVE-2009-1943], [BID-35154]",SG
62514,https://www.speedguide.net/port.php?port=62514,62514,udp,,"Cisco Systems, Inc. VPN Service to Cisco Systems IPSec Driver",Bekkoame
62011,https://www.speedguide.net/port.php?port=62011,62011,tcp,trojan,Ducktoy trojan,SG
62011,https://www.speedguide.net/port.php?port=62011,62011,tcp,trojan,Ducktoy,Trojans
61979,https://www.speedguide.net/port.php?port=61979,61979,tcp,trojan,Cool Remote Control trojan horse,SG
61979,https://www.speedguide.net/port.php?port=61979,61979,tcp,trojan,Cool Remote Control,Trojans
61748,https://www.speedguide.net/port.php?port=61748,61748,udp,trojan,"KiLo trojan - listens on ports 50829,61746,61747,61748. May be related to Backdoor.KiLo [Symantec-2003-021319-1815-99] that uses ports 6711, 6718.",SG
61748,https://www.speedguide.net/port.php?port=61748,61748,udp,trojan,KiLo,Trojans
61747,https://www.speedguide.net/port.php?port=61747,61747,"tcp,udp",trojan,"KiLo trojan - listens on ports 50829,61746,61747,61748. May be related to Backdoor.KiLo [Symantec-2003-021319-1815-99] that uses ports 6711, 6718.",SG
61747,https://www.speedguide.net/port.php?port=61747,61747,"tcp,udp",trojan,KiLo,Trojans
61746,https://www.speedguide.net/port.php?port=61746,61746,"tcp,udp",trojan,"KiLo trojan - listens on ports 50829,61746,61747,61748. May be related to Backdoor.KiLo [Symantec-2003-021319-1815-99] that uses ports 6711, 6718.",SG
61746,https://www.speedguide.net/port.php?port=61746,61746,"tcp,udp",trojan,KiLo,Trojans
61616,https://www.speedguide.net/port.php?port=61616,61616,"tcp,udp",activemq,"Apache ActiveMQ, Java Message Service (JMS)



Cisco Prime Central for Hosted Collaboration Solution (HCS) Assurance 8.6 and 9.x before 9.2(1) allows remote attackers to cause a denial of service (memory consumption) via a flood of TCP packets to port (1) 61615 or (2) 61616, aka Bug ID CSCtz90114.

References: [CVE-2013-3389]",SG
61615,https://www.speedguide.net/port.php?port=61615,61615,tcp,applications,"Cisco Prime Central for Hosted Collaboration Solution (HCS) Assurance 8.6 and 9.x before 9.2(1) allows remote attackers to cause a denial of service (memory consumption) via a flood of TCP packets to port (1) 61615 or (2) 61616, aka Bug ID CSCtz90114.

References: [CVE-2013-3389]",SG
61603,https://www.speedguide.net/port.php?port=61603,61603,tcp,trojans,"Bunker-Hill trojan. Uses ports 61348, 61603, 63485",SG
61603,https://www.speedguide.net/port.php?port=61603,61603,tcp,trojan,[trojan] Bunker-Hill,Trojans
61603,https://www.speedguide.net/port.php?port=61603,61603,tcp,BunkerHill,[trojan] Bunker-Hill,SANS
61466,https://www.speedguide.net/port.php?port=61466,61466,tcp,trojans,TeleCommando trojan,SG
61466,https://www.speedguide.net/port.php?port=61466,61466,tcp,TeleCommando,[trojan] TeleCommando,SANS
61460,https://www.speedguide.net/port.php?port=61460,61460,tcp,,"An unspecified API on Cisco TelePresence Immersive Endpoint Devices before 1.9.1 allows remote attackers to execute arbitrary commands by leveraging certain adjacency and sending a malformed request on TCP port 61460, aka Bug ID CSCtz38382.

References: [CVE-2012-3074]",SG
61445,https://www.speedguide.net/port.php?port=61445,61445,tcp,applications,"Cisco TelePresence Endpoint could allow a remote attacker to execute arbitrary commands on the system, caused by an error in XML-RPC. By initiating a three-way handshake, a remote attacker could send a specially-crafted request to TCP port 61441 or TCP port 61445 to inject and execute arbitrary commands on the system.

References: [BID-46517], [CVE-2011-0378], [XFDB-65617]",SG
61441,https://www.speedguide.net/port.php?port=61441,61441,tcp,netprowler,"Axent NetProwler sensor



Cisco TelePresence Endpoint could allow a remote attacker to execute arbitrary commands on the system, caused by an error in XML-RPC. By initiating a three-way handshake, a remote attacker could send a specially-crafted request to TCP port 61441 or TCP port 61445 to inject and execute arbitrary commands on the system.

References: [BID-46517], [CVE-2011-0378], [XFDB-65617]",SG
61441,https://www.speedguide.net/port.php?port=61441,61441,tcp,netprowler,Axent NetProwler sensor,SANS
61440,https://www.speedguide.net/port.php?port=61440,61440,tcp,trojan,Orion trojan,SG
61440,https://www.speedguide.net/port.php?port=61440,61440,tcp,trojan,Orion,Trojans
61440,https://www.speedguide.net/port.php?port=61440,61440,tcp,netprowler,Axent NetProwler manager,SANS
61427,https://www.speedguide.net/port.php?port=61427,61427,tcp,applications,"Desktop Rover 3.0, and possibly earlier versions, allows remote attackers to cause a denial of service (application crash) via a crafted packet to TCP port 61427, which causes an invalid memory access.

References: [CVE-2005-1204]",SG
61348,https://www.speedguide.net/port.php?port=61348,61348,tcp,trojans,"Bunker-Hill trojan. Uses ports 61348, 61603, 63485",SG
61348,https://www.speedguide.net/port.php?port=61348,61348,tcp,trojan,[trojan] Bunker-Hill,Trojans
61348,https://www.speedguide.net/port.php?port=61348,61348,tcp,BunkerHill,[trojan] Bunker-Hill,SANS
61348,https://www.speedguide.net/port.php?port=61348,61348,tcp,Bunker-Hill,[trojan] Bunker-Hill,Neophasis
61337,https://www.speedguide.net/port.php?port=61337,61337,tcp,trojan,Nota trojan [Symantec-2002-061211-0415-99],SG
61337,https://www.speedguide.net/port.php?port=61337,61337,tcp,trojan,Nota,Trojans
61282,https://www.speedguide.net/port.php?port=61282,61282,tcp,worm,"W32.Pandem.B.Worm [Symantec-2003-081913-3715-99] (2003.08.19) - a worm coded in C++ and is packed with PEBundle, listens on port 61282/tcp.",SG
61282,https://www.speedguide.net/port.php?port=61282,61282,tcp,threat,W32.Pandem.B.Worm,Bekkoame
61282,https://www.speedguide.net/port.php?port=61282,61282,tcp,threat,W32.Squirm@mm,Bekkoame
61183,https://www.speedguide.net/port.php?port=61183,61183,tcp,worm,W32.Quadrule.A [Symantec-2007-052815-0455-99] (2007.05.28) - a worm that spreads through network and removable drives. It also opens a back door on port 61183.,SG
61137,https://www.speedguide.net/port.php?port=61137,61137,tcp,threat,W32.Mytob,Bekkoame
61115,https://www.speedguide.net/port.php?port=61115,61115,tcp,trojan,Protoss trojan,SG
61115,https://www.speedguide.net/port.php?port=61115,61115,tcp,trojan,Protoss,Trojans
61001,https://www.speedguide.net/port.php?port=61001,61001,tcp,applications,"The AT&T U-verse 9.2.2h0d83 firmware for the Arris NVG589, NVG599, and unspecified other devices, when IP Passthrough mode is not used, configures an sbdc.ha WAN TCP service on port 61001 with the bdctest account and the bdctest password, which allows remote attackers to obtain sensitive information (such as the Wi-Fi password) by leveraging knowledge of a hardware identifier, related to the Bulk Data Collection (BDC) mechanism defined in Broadband Forum technical reports.

References: [CVE-2017-10793], [BID-100585]",SG
61001,https://www.speedguide.net/port.php?port=61001,61001,tcp,threat,Chimo,Bekkoame
61000,https://www.speedguide.net/port.php?port=61000,61000,tcp,trojans,"Backdoor.Mite [Symantec-2002-090309-2255-99] - remote access trojan with password-stealing capabilities, affects Windows. Opens a backdoor on port 61000/tcp. BD Windows Mite 1.0 variant listens on port 65530/tcp.",SG
61000,https://www.speedguide.net/port.php?port=61000,61000,"tcp,udp",threat,Mite,Bekkoame
60666,https://www.speedguide.net/port.php?port=60666,60666,tcp,trojan,Basic Hell trojan,SG
60666,https://www.speedguide.net/port.php?port=60666,60666,tcp,trojan,Basic Hell,Trojans
60552,https://www.speedguide.net/port.php?port=60552,60552,tcp,trojan,"R0xr4t [Symantec-2002-082915-1621-99], a.k.a. RoxRat backdoor, BD R0xr4t 1.0. Uses ports 5050,50551,50552,60551,60552.",SG
60552,https://www.speedguide.net/port.php?port=60552,60552,tcp,trojan,R0xr4t,Trojans
60551,https://www.speedguide.net/port.php?port=60551,60551,tcp,trojan,"R0xr4t [Symantec-2002-082915-1621-99], a.k.a. RoxRat backdoor, BD R0xr4t 1.0. Uses ports 5050,50551,50552,60551,60552.",SG
60551,https://www.speedguide.net/port.php?port=60551,60551,tcp,trojan,R0xr4t,Trojans
60412,https://www.speedguide.net/port.php?port=60412,60412,tcp,trojan,Connection.130 trojan,SG
60411,https://www.speedguide.net/port.php?port=60411,60411,tcp,trojan,"Connection.100, Connection.130 trojan",SG
60411,https://www.speedguide.net/port.php?port=60411,60411,tcp,trojan,[trojan] Connection,Trojans
60411,https://www.speedguide.net/port.php?port=60411,60411,tcp,Connection,[trojan] Connection,SANS
60101,https://www.speedguide.net/port.php?port=60101,60101,tcp,trojans,"Backdoor.Stealer [Symantec-2003-070415-5712-99] (2003.07.04) a.k.a. Trojan.Spy.MSNLogThief [KAV], MSNLogThief [McAfee] - a trojan that gives its creator full control over the infected computer, uses ports 16999,60101.",SG
60101,https://www.speedguide.net/port.php?port=60101,60101,tcp,threat,Stealer,Bekkoame
60068,https://www.speedguide.net/port.php?port=60068,60068,tcp,trojans,"Xzip trojan, T0rn rootkit",SG
60068,https://www.speedguide.net/port.php?port=60068,60068,tcp,trojan,The Thing,Trojans
60068,https://www.speedguide.net/port.php?port=60068,60068,tcp,Xzip6000068,[trojan] Xzip 6000068,SANS
60023,https://www.speedguide.net/port.php?port=60023,60023,tcp,applications,"Clipcomm CPW-100E VoIP 802.11b Wireless Handset Phone running firmware 1.1.12 (051129) and CP-100E VoIP 802.11b Wireless Phone running firmware 1.1.60 allows remote attackers to gain unauthorized access via the debug service on TCP port 60023.

References: [CVE-2006-0305], [BID-16289]",SG
60008,https://www.speedguide.net/port.php?port=60008,60008,tcp,trojans,"T0rn Rootkit trojan

Lion trojan - exploits Linux Bind servers' TSIG vulnerability",SG
60008,https://www.speedguide.net/port.php?port=60008,60008,tcp,trojan,"li0n, T0rn Rootkit",Trojans
60008,https://www.speedguide.net/port.php?port=60008,60008,tcp,Lion,[trojan] Lion,SANS
60008,https://www.speedguide.net/port.php?port=60008,60008,tcp,T0rnRootkit,[trojan] T0rn Rootkit,SANS
60007,https://www.speedguide.net/port.php?port=60007,60007,tcp,applications,"Bently Nevada condition monitoring equipment through 2022-04-29 mishandles authentication. It utilizes the TDI command and data protocols (60005/TCP, 60007/TCP) for communications between the monitoring controller and System 1 and/or Bently Nevada Monitor Configuration (BNMC) software. These protocols provide configuration management and historical data related functionality. Neither protocol has any authentication features, allowing any attacker capable of communicating with the ports in question to invoke (a subset of) desired functionality.

References: [CVE-2022-29952]",SG
60006,https://www.speedguide.net/port.php?port=60006,60006,tcp,trojan,Trojan.Fulamer.25,SG
60005,https://www.speedguide.net/port.php?port=60005,60005,tcp,applications,"Bently Nevada condition monitoring equipment through 2022-04-29 mishandles authentication. It utilizes the TDI command and data protocols (60005/TCP, 60007/TCP) for communications between the monitoring controller and System 1 and/or Bently Nevada Monitor Configuration (BNMC) software. These protocols provide configuration management and historical data related functionality. Neither protocol has any authentication features, allowing any attacker capable of communicating with the ports in question to invoke (a subset of) desired functionality.

References: [CVE-2022-29952]",SG
60001,https://www.speedguide.net/port.php?port=60001,60001,tcp,trojans,"Trojans that use this port: Entitee trojan, Trinity trojan (DoS)",SG
60001,https://www.speedguide.net/port.php?port=60001,60001,udp,nat-traverse,"nat-traverse, Vorsis

The nat-traverse application utilizes UDP port 60001 to pass through NAT gateways to generate links between nodes located behind these gateways.

Vorsis audio processors employ UDP and TCP port 60001 to communicate with their host.",SG
60001,https://www.speedguide.net/port.php?port=60001,60001,tcp,trojan,[trojan] Trinity,Trojans
60001,https://www.speedguide.net/port.php?port=60001,60001,tcp,Trinity,[trojan] Trinity,SANS
60000,https://www.speedguide.net/port.php?port=60000,60000,tcp,trojans,"Trojans/backdoors that use this port: DeepThroat/BackDoor-J, F0replay/WiNNUke eXtreame, Sockets des Troie, MiniBacklash",SG
60000,https://www.speedguide.net/port.php?port=60000,60000,udp,sco,"SCO Copy Protection Demon (CPD)

Among the products protected by SCO CPD are the SCO UnixWare, SCO OpenServer, Smallfoot, SCOoffice Server, WebFace, SCOx Web Services Substrate, Me Inc., and Caldera WebSpyder.



Backdoor.Win32.MiniBlackLash / Remote DoS - MiniBlackLash listens on both TCP port 6711 and UDP port 60000. Sending a large HTTP request string of junk chars to UDP port 60000 will crash this backdoor.

References: [MVID-2021-0060]",SG
60000,https://www.speedguide.net/port.php?port=60000,60000,tcp,trojan,"Deep Throat , Foreplay , Sockets des Troie",Trojans
60000,https://www.speedguide.net/port.php?port=60000,60000,tcp,DeepThroat,[trojan] Deep Throat,SANS
60000,https://www.speedguide.net/port.php?port=60000,60000,tcp,Foreplay,[trojan] Foreplay,SANS
60000,https://www.speedguide.net/port.php?port=60000,60000,tcp,SocketsdesTroie,[trojan] Sockets des Troie,SANS
59777,https://www.speedguide.net/port.php?port=59777,59777,tcp,applications,"ES File Explorer File Manager application for Android could allow a remote attacker to execute arbitrary code on the system. By sending specially-crafted requests to TCP port 59777, an attacker could exploit this vulnerability to read arbitrary files or execute arbitrary code on the system.

References: [CVE-2019-6447], [XFDB-155682]",SG
59278,https://www.speedguide.net/port.php?port=59278,59278,"tcp,udp",applications,"WS-Proxy in Eye-Fi 1.1.2 allows remote attackers to cause a denial of service (crash) via an empty query string to port 59278 and other unspecified vectors.

References: [CVE-2008-7137], [BID-28085]",SG
59211,https://www.speedguide.net/port.php?port=59211,59211,tcp,trojans,"Backdoor.Ducktoy [Symantec-2002-071814-5240-99] (2002.07.18) - remote access trojan, affects Windows, listens to ports 29559 and 59211 by default.



NewFuture trojan",SG
59211,https://www.speedguide.net/port.php?port=59211,59211,tcp,trojan,Ducktoy,Trojans
58723,https://www.speedguide.net/port.php?port=58723,58723,tcp,applications,"Open Automation Software OPC Systems.NET before 5.0 allows remote attackers to cause a denial of service via a malformed .NET RPC packet on TCP port 58723.

References: [CVE-2011-4871]",SG
58666,https://www.speedguide.net/port.php?port=58666,58666,tcp,trojans,"Backdoor.Redkod [Symantec-2003-022517-1058-99] (2003.02.03) - remote access trojan, affects Windows NT/2000/XP.",SG
58666,https://www.speedguide.net/port.php?port=58666,58666,"tcp,udp",threat,Redkod,Bekkoame
58641,https://www.speedguide.net/port.php?port=58641,58641,tcp,trojans,W32.Kalel.B@mm [Symantec-2005-061615-2836-99] (2005.06.15) - mass-mailing worm with keylogger and backdoor capabilities. Spreads through email and file-sharing networks. Opens a backdoor and listens for remote commands on port 58641/tcp.,SG
58641,https://www.speedguide.net/port.php?port=58641,58641,tcp,threat,W32.Kalel,Bekkoame
